target,method,feature_group,importance,importance_share
language,built_in,formatting_and_punctuation,0.08055428354674518,0.08055428354674518
language,built_in,length_and_structure,0.1478818167340578,0.1478818167340578
language,built_in,lexical_diversity_and_repetition,0.08947576890878707,0.08947576890878707
language,built_in,stance_pronouns_and_uncertainty,0.6820881308104099,0.6820881308104099
model_key,built_in,formatting_and_punctuation,0.23503511932075155,0.23503511932075155
model_key,built_in,length_and_structure,0.26908149380434554,0.26908149380434554
model_key,built_in,lexical_diversity_and_repetition,0.384091958789028,0.384091958789028
model_key,built_in,stance_pronouns_and_uncertainty,0.1117914280858749,0.1117914280858749
language,permutation,formatting_and_punctuation,0.017723818230618093,0.17784558319020502
language,permutation,length_and_structure,0.015008110957678965,0.1505954423094216
language,permutation,lexical_diversity_and_repetition,0.007713287995650642,0.07739721678767505
language,permutation,stance_pronouns_and_uncertainty,0.059213250081233425,0.5941617577126983
model_key,permutation,formatting_and_punctuation,0.10207076858707723,0.44623415696933066
model_key,permutation,length_and_structure,0.04576393550572057,0.20007129820495456
model_key,permutation,lexical_diversity_and_repetition,0.03492847141667149,0.15270069200614486
model_key,permutation,stance_pronouns_and_uncertainty,0.045974958927183604,0.20099385281956988
language,shap,formatting_and_punctuation,0.0469098858086359,0.0866823598134136
language,shap,length_and_structure,0.08160993639867073,0.15080279453498602
language,shap,lexical_diversity_and_repetition,0.057427887034840204,0.10611803208358406
language,shap,stance_pronouns_and_uncertainty,0.355222211715368,0.6563968135680164
model_key,shap,formatting_and_punctuation,0.10523643750000002,0.2499968078241863
model_key,shap,length_and_structure,0.09720312499999999,0.23091308996976784
model_key,shap,lexical_diversity_and_repetition,0.183741375,0.4364909940554263
model_key,shap,stance_pronouns_and_uncertainty,0.034770187499999994,0.08259910815061962
