target,feature,importance_mean,importance_std
language,text_avg_word_length,0.01605184076006606,0.004666699608789438
language,text_first_person_pronoun_density,0.015003153159642091,0.005254272288658309
language,text_hedge_word_density,0.014811785163982016,0.004616975160839188
language,text_comma_density,0.012514530580067785,0.0029489822138901492
language,text_hedge_word_count,0.011265385953004725,0.002672457717331516
language,text_first_person_pronoun_count,0.007707617852448267,0.003731716126785868
language,text_max_word_frequency,0.004170080802636334,0.0009319544865227633
language,text_negation_word_density,0.003961672473232547,0.001967154834373235
language,text_second_person_pronoun_count,0.003961234503782773,0.002544107135991874
language,text_second_person_pronoun_density,0.0018768609251785585,0.002177337436951599
language,text_digit_density,0.0016660804575360012,0.0008330402287680006
language,text_avg_word_frequency,0.001251080099924895,0.0010215026240553947
language,text_avg_sentence_words,0.0012496996967642394,0.001667462056402238
language,text_list_marker_count,0.0012495603431520008,0.0010202617478464848
language,text_colon_density,0.0010425667499374125,0.0010425667499374125
language,text_semicolon_density,0.00083405339994993,0.0010215026240553947
language,text_negation_word_count,0.0006255400499624475,0.000955528209726458
language,text_entropy,0.0006255400499624475,0.000955528209726458
language,text_unique_word_count,0.000417026699974965,0.0008340533999499299
language,text_punctuation_density,0.000417026699974965,0.0008340533999499299
language,text_word_count,0.000417026699974965,0.0008340533999499299
language,text_char_count,0.0004167734071794826,0.0008335470067813695
language,text_hapax_ratio,0.0004165201143840003,0.0008330402287680006
language,text_repetition_rate,0.0004165201143840003,0.0008330402287680006
language,text_repeated_bigram_ratio,0.00020826005719200015,0.0006247801715760004
language,text_repeated_trigram_ratio,0.00020826005719200015,0.0006247801715760004
language,text_code_fence_count,0.0,0.0
language,text_exclamation_mark_density,0.0,0.0
language,text_paragraph_count,0.0,0.0
language,text_sentence_count,0.0,0.0
language,text_punctuation_count,0.0,0.0
language,text_newline_count,0.0,0.0
language,text_type_token_ratio,0.0,0.0
language,text_uppercase_word_ratio,0.0,0.0
language,text_avg_sentence_chars,-0.0014592604405360365,0.001334980864418318
language,source_response_length,-0.0016679691657697448,0.0008334962592613918
