target,class_name,feature,mean_abs_shap,rank,importance_kind,note
language,en,text_first_person_pronoun_density,0.08837229284951162,1,shap,
language,en,text_hedge_word_density,0.08077491321612414,2,shap,
language,en,text_hedge_word_count,0.07284687072042542,3,shap,
language,en,text_first_person_pronoun_count,0.05562543203411172,4,shap,
language,en,text_avg_word_length,0.05073625546762266,5,shap,
language,en,text_comma_density,0.024171443067349342,6,shap,
language,en,text_second_person_pronoun_density,0.02110558813148656,7,shap,
language,en,text_second_person_pronoun_count,0.017563515410804472,8,shap,
language,en,text_negation_word_density,0.015051356105699862,9,shap,
language,en,text_max_word_frequency,0.00963683037968976,10,shap,
language,en,text_avg_sentence_words,0.007504171593163774,11,shap,
language,en,text_semicolon_density,0.007055966310599124,12,shap,
language,en,text_repetition_rate,0.00673651902784715,13,shap,
language,en,text_type_token_ratio,0.006297227958673257,14,shap,
language,en,text_avg_word_frequency,0.006287867593344154,15,shap,
language,en,text_repeated_trigram_ratio,0.006072329060696253,16,shap,
language,en,text_entropy,0.006004962113407402,17,shap,
language,en,text_hapax_ratio,0.005803939287275224,18,shap,
language,en,text_unique_word_count,0.005667361020923527,19,shap,
language,en,text_word_count,0.005241753156565645,20,shap,
language,en,text_repeated_bigram_ratio,0.004920850592983412,21,shap,
language,en,text_punctuation_density,0.00399211534992788,22,shap,
language,en,text_negation_word_count,0.003882243247204189,23,shap,
language,en,text_newline_count,0.0035657614989177294,24,shap,
language,en,source_response_length,0.0032964486945346342,25,shap,
language,en,text_colon_density,0.0032858107638889062,26,shap,
language,en,text_char_count,0.003164328049554595,27,shap,
language,en,text_sentence_count,0.003143650602002157,28,shap,
language,en,text_paragraph_count,0.0031326194196428666,29,shap,
language,en,text_list_marker_count,0.0025793371784465524,30,shap,
language,en,text_digit_density,0.0022818652848887247,31,shap,
language,en,text_punctuation_count,0.0019706276943542507,32,shap,
language,en,text_avg_sentence_chars,0.0018249479166666468,33,shap,
language,en,text_uppercase_word_ratio,0.0007665859375000017,34,shap,
language,en,text_exclamation_mark_density,0.0005171065228174618,35,shap,
language,en,text_code_fence_count,0.00028902769886363783,36,shap,
language,pl,text_first_person_pronoun_density,0.0883722928495116,1,shap,
language,pl,text_hedge_word_density,0.08077491321612415,2,shap,
language,pl,text_hedge_word_count,0.07284687072042545,3,shap,
language,pl,text_first_person_pronoun_count,0.05562543203411169,4,shap,
language,pl,text_avg_word_length,0.05073625546762265,5,shap,
language,pl,text_comma_density,0.024171443067349325,6,shap,
language,pl,text_second_person_pronoun_density,0.021105588131486573,7,shap,
language,pl,text_second_person_pronoun_count,0.017563515410804482,8,shap,
language,pl,text_negation_word_density,0.015051356105699886,9,shap,
language,pl,text_max_word_frequency,0.009636830379689786,10,shap,
language,pl,text_avg_sentence_words,0.007504171593163819,11,shap,
language,pl,text_semicolon_density,0.007055966310599115,12,shap,
language,pl,text_repetition_rate,0.00673651902784716,13,shap,
language,pl,text_type_token_ratio,0.0062972279586732734,14,shap,
language,pl,text_avg_word_frequency,0.006287867593344171,15,shap,
language,pl,text_repeated_trigram_ratio,0.006072329060696268,16,shap,
language,pl,text_entropy,0.00600496211340744,17,shap,
language,pl,text_hapax_ratio,0.005803939287275204,18,shap,
language,pl,text_unique_word_count,0.005667361020923554,19,shap,
language,pl,text_word_count,0.005241753156565642,20,shap,
language,pl,text_repeated_bigram_ratio,0.004920850592983422,21,shap,
language,pl,text_punctuation_density,0.003992115349927907,22,shap,
language,pl,text_negation_word_count,0.0038822432472041743,23,shap,
language,pl,text_newline_count,0.00356576149891774,24,shap,
language,pl,source_response_length,0.0032964486945346377,25,shap,
language,pl,text_colon_density,0.0032858107638889045,26,shap,
language,pl,text_char_count,0.0031643280495545997,27,shap,
language,pl,text_sentence_count,0.003143650602002152,28,shap,
language,pl,text_paragraph_count,0.0031326194196428527,29,shap,
language,pl,text_list_marker_count,0.0025793371784465628,30,shap,
language,pl,text_digit_density,0.0022818652848887464,31,shap,
language,pl,text_punctuation_count,0.0019706276943542776,32,shap,
language,pl,text_avg_sentence_chars,0.00182494791666667,33,shap,
language,pl,text_uppercase_word_ratio,0.000766585937499981,34,shap,
language,pl,text_exclamation_mark_density,0.000517106522817455,35,shap,
language,pl,text_code_fence_count,0.0002890276988636373,36,shap,
language,__overall__,text_first_person_pronoun_density,0.08837229284951162,1,shap,
language,__overall__,text_hedge_word_density,0.08077491321612415,2,shap,
language,__overall__,text_hedge_word_count,0.07284687072042544,3,shap,
language,__overall__,text_first_person_pronoun_count,0.05562543203411171,4,shap,
language,__overall__,text_avg_word_length,0.05073625546762265,5,shap,
language,__overall__,text_comma_density,0.024171443067349332,6,shap,
language,__overall__,text_second_person_pronoun_density,0.021105588131486577,7,shap,
language,__overall__,text_second_person_pronoun_count,0.017563515410804476,8,shap,
language,__overall__,text_negation_word_density,0.015051356105699867,9,shap,
language,__overall__,text_max_word_frequency,0.009636830379689773,10,shap,
language,__overall__,text_avg_sentence_words,0.007504171593163791,11,shap,
language,__overall__,text_semicolon_density,0.007055966310599121,12,shap,
language,__overall__,text_repetition_rate,0.006736519027847156,13,shap,
language,__overall__,text_type_token_ratio,0.006297227958673264,14,shap,
language,__overall__,text_avg_word_frequency,0.006287867593344159,15,shap,
language,__overall__,text_repeated_trigram_ratio,0.006072329060696259,16,shap,
language,__overall__,text_entropy,0.006004962113407423,17,shap,
language,__overall__,text_hapax_ratio,0.005803939287275213,18,shap,
language,__overall__,text_unique_word_count,0.005667361020923542,19,shap,
language,__overall__,text_word_count,0.005241753156565644,20,shap,
language,__overall__,text_repeated_bigram_ratio,0.004920850592983414,21,shap,
language,__overall__,text_punctuation_density,0.003992115349927893,22,shap,
language,__overall__,text_negation_word_count,0.0038822432472041804,23,shap,
language,__overall__,text_newline_count,0.003565761498917735,24,shap,
language,__overall__,source_response_length,0.0032964486945346364,25,shap,
language,__overall__,text_colon_density,0.003285810763888905,26,shap,
language,__overall__,text_char_count,0.0031643280495545966,27,shap,
language,__overall__,text_sentence_count,0.0031436506020021543,28,shap,
language,__overall__,text_paragraph_count,0.0031326194196428596,29,shap,
language,__overall__,text_list_marker_count,0.002579337178446558,30,shap,
language,__overall__,text_digit_density,0.002281865284888736,31,shap,
language,__overall__,text_punctuation_count,0.0019706276943542637,32,shap,
language,__overall__,text_avg_sentence_chars,0.0018249479166666583,33,shap,
language,__overall__,text_uppercase_word_ratio,0.0007665859374999916,34,shap,
language,__overall__,text_exclamation_mark_density,0.0005171065228174584,35,shap,
language,__overall__,text_code_fence_count,0.00028902769886363756,36,shap,
